Title_val,Funding_TotalPreviousYears_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_CostToComplete_val,Funding_TotalCost_val,Funding_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Other Service Funding Adjustment","","78.900","24.068","4.957","4.957","","","","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","c26a6f2e7821d713a9bf224938973a81049c4faaf06ab22a03551ab1f28a7038","0-607243014d349a0321e5d313a25316e5e8bf86b1a876170286d7664d1737cba8","1-c70f29451cc24d512a137fb41cd8e142cb973c3aeabe914188fdf81d02b3d8b9","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","","","0.000","0.000","","","0.000","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","113f5b579976c9272ee9fc8fe378cb1e5e609e50d9348bd67d1c3846a18d9742","0-08b881fced75488300eac4b84eac38e6f373087cfc06e8bbec00469a89389c64","0-423c674930bb58356610c266f16f3b8a1de0ffdcbcb4d5202e16f1baa97704ab","root.record.ProjectList.Project"
"Other Service Funding Adjustment","107.938","119.740","438.981","669.834","669.834","","","","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","1a1f0e94cdb3e47df05630846e104471492bb5f51f5a7bcc9f0e7db062ba693e","0-8e24ccda1ce70dfa2d6ae89abb624ff81b72574e89cf4d85bbe97b6f5de05ad5","0-cbaa5e5d987a6c89f9b4720695d970144a837adb5ae482a939129acb1fd7dd01","root.record.ProjectList.Project"
"Other Service Funding Adjustment","107.938","119.740","438.981","669.834","669.834","","","","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","774b79316f0bca19facbc093250998e46da7c80f68a9b2a1b8f44a99a7ef8884","0-e4ea007923fa88b7a330118b60ab086d1b8afcc1efa70cb293810683bbca6cd2","0-e113d0d31c1249942c381cfe6ce3b43bbfdc2cea25328af4e6a6240a3a35155a","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","0.000","0.000","0.000","0.000","","","0.000","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","f1e583e0e929f1edd7bbaa1a57cd12a796ac8d9702bbd29967ffb872ad34baf1","0-b4742d1ccf5bc081681092c8c87f457aaa3b774d1acc3b6b1a45dddf93445ec0","0-868fadba9f280913e37abc03424c2685e7c63fdfb7bd12f8cfa25eed4f869876","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","0.000","0.000","0.000","0.000","","","0.000","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2019.xml","df6e7d00ece98bdade8cc30aee2094a7ee06b3333fbb8510d6e1771327d0d11a","0-412e4e0faa520d6d0cac0e3f8c28d8f9156a980d8448d3c59236961ded0e1989","0-84db97a55d46f98ab77d8a0ece892e928940fe79473ad018130823b06f1b34ee","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","273.736","127.103","3.200","3.200","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2020.xml","089c5d57c6f39917a241aacb8e133ccf2cb49149d29aa1b6a561c496fcf45bad","0-3ef98304c9aa62e6c51c1b0ecfa36676d26cc6e734465e87109345c8f0e1d3fb","0-db13a53adb30a0d4aa9ae6e94d0748b2cbdc870a6ec8c2bd35f090611cf4078c","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","23.405","4.957","","","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2020.xml","089c5d57c6f39917a241aacb8e133ccf2cb49149d29aa1b6a561c496fcf45bad","0-39985a4cc5a8e5c3269000c056b39d8ecd60d255fdaa4ebec5f43cfb274b3564","1-fde700e9d1449f4752f3795ad95dffa67a6612d0c339c059f45d289f25bc843a","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","434.530","671.868","","","","","","2020-BASE_RDTE-2020-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2020.xml","03125cf48077b60f90a9c1bef8d5f385282e590d5ff72412af015e86b08d75cd","0-d438da0c87b59c209ae19823b19df5f7858bb17d893cedb20e9a10f41ea4f659","0-c8814c6d45691ac2fb24fe8e6b9597078093f04a3bcf016b12cb6ac3a250108c","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","","","1088.509","1088.509","","","","2020-BASE_RDTE-2020-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2020.xml","ff6249705151a5d78bed3f51429706ef10a026c922d6fe8b624f08ee8a5d2ec3","0-1f24e005f9400f20c953fd5480a10a048586e9e0448d3a2c6ed0e13001f48756","0-2836d107c981b3c07f68a4251f090675c65b15930baa85b1440ab7f8a4a7a88b","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","273.736","127.103","3.200","3.200","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.xml","1bfe91a37ddc06ce52b300726f56892ffbbe8e73c842dee7fb043a4080e8b74c","0-1a2db352e592c5858dc4ca1749470b502a35b34022155de145e4825164d04fcf","0-1a5eeba7aebd033a5356f445a54e1de5c3cb8a791e100ff3cf5eb7e655694007","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","23.405","4.957","","","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.xml","1bfe91a37ddc06ce52b300726f56892ffbbe8e73c842dee7fb043a4080e8b74c","0-de5d07e468b62c37e047fe09467d5c6d412b07677e43860a24d49fc4756da368","1-6f2be702f84dda0bdf6173f03ab8e4ffce116d98d4ad539289dd81aaf549fa09","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","434.530","671.868","","","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.xml","bdfdf9c35defe328d6d0cc86ced47d002df38f9d08d951b1e19347a5a3b016ee","0-ba3c133d2df3e679baf506701f3f12299ff668a03f237c31cb014ca57e7a358b","0-d97eec1a98a71f5a9510cf892e993986ff39a7e574a765c42acdbf9540b0ac54","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","","","1088.509","1088.509","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.xml","0ec2dec4c52bbc988b0bf871417b2f954b1f8f382f293cca27f6b07c694261b8","0-2f84cf654d9a040a8623bcc47e17a773a1491d9a37567ae0cfc96a8c0fc7272f","0-3e67f47811faba23387226749c92d5a8072cda7d375f97acd6c6d60b942b9a0e","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","0.000","0.000","0.000","0.000","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.xml","0e4246c87fe31def1aaf2fdc14ca50bace7c934e1f01ef858cfd0908ee3a9d35","0-3375ce7683f28e7d0ee1d69819d041fc6367852b6ed7f0f833a30624eaa52ebf","0-c922ec8c7aae39cc54c46d5ab7a3087bf9ce408f36fa280aed3ca4a283e754f2","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","0.000","0.000","","","","","","2020-BASE_RDTE-2020-AIRFORCE_V2-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2020.xml","d21f5725b29bf2b8548bb226305319e7d4c0246e99cd32067346790ea0387416","0-381db33b112fc8325aa1fe8ee51c4bfc39108fb7004cb16da3e324b15ba88137","0-a08e187309c5ffb3f1b534ac5fbbdf7ccc9997d5234b4308abfc1ca37bbc1aa7","root.record.ProjectList.Project"
