path,2013,2014,2015,2016,2017,2018,2019,2020,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.Total.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.Total.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Procurement.AKits.NonRecurring.KitList.Kit,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Procurement.AKits.Recurring.KitList.Kit,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Procurement.BKits.NonRecurring.KitList.Kit,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Procurement.BKits.Recurring.KitList.Kit,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Procurement.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Procurement.ManufacturerList.Manufacturer,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Procurement.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.RDTE.ProgramElementSummaryList.ProgramElementSummary,NO,YES,YES,YES,YES,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement,NO,NO,NO,YES,YES,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.RelatedProgramElementList.ProgramElementNumber,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.SecondaryDistribution.ComponentList.Component,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.SupportCost.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer,YES,YES,YES,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,YES,NO,YES,YES,
