Name_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","21","11.31","21","11.31","","","","","10","6.125","","","","","12","1.73","18","5.22","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-e7014e8de0e8a128cbd9f3ddd8a5a299602caf39fbf693f4951737d26e4bf88e","0-a5adbce21f0b93ee100a5ecca21b8cdbfc102bfc86b13d350cd0fd26a2c07771","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","2","2.75","6","7.92","","","12","16.1","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","1-da05b3a14e2d8cd2f234cc3d62e741d721b22e897cff6df95063a295645d0e4f","0-a5adbce21f0b93ee100a5ecca21b8cdbfc102bfc86b13d350cd0fd26a2c07771","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","23","8.9","23","8.9","29","11.4","31","12.3","24","7.726","9","3.634","","","7","1.865","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-3de45a54b9a1027bc1cf840c4e1bebc11b1c762678c11f9c715f65325c50f18c","0-f25afc42490a0b7e8686062071cfa57606d282954c2dbbf4821110eaec14afa2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","","","","","17","6.866","3","1.2","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","1-3a26887a8ad913bf44142839239ff2701ec41f1a97f5f180fbd4b031c8f79326","0-f25afc42490a0b7e8686062071cfa57606d282954c2dbbf4821110eaec14afa2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","216","47.557","216","47.557","274","43.68","336","41.887","619","65.724","203","22.126","158","45.735","797","58.727","158","71.912","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-3e698b8b6d0d5c18a0e3dae63da6f3b321550d341402ecffe7a311f81d8e078f","0-21c9316c486d868515b74852133e5f86f360053a1fbdb43e713d344e73e68cf7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","27","5.944","27","5.944","34","5.42","42","5.236","77","9.141","25","2.725","20","5.789","99","8.951","20","9.103","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","1-e0a8a2362b1b000e499b8fb17fd52d32840c740d1d5c018347e53bb3f0d0c312","0-21c9316c486d868515b74852133e5f86f360053a1fbdb43e713d344e73e68cf7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1037","0.596","1037","0.596","1313","0.686","1237","0.886","870","0.635","991","1.162","815","1.206","476","0.59","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-3ab0adc56af2eade690e9aabbe865b8fbbc9fefb21b82c2b4d03ab2b6bb20fd4","0-4e7a787909c0abf86fce080dc260f96a3840585e8912f52ecfff9346125f358b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","90","0.052","90","0.052","114","0.06","108","0.077","76","0.055","86","0.101","71","0.105","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","1-ccd00e5ccdf0b515a01a45566beec9a6368ff7c86cb4ff9acef8f838bdf326b0","0-4e7a787909c0abf86fce080dc260f96a3840585e8912f52ecfff9346125f358b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","35","51.175","35","51.175","39","50.875","23","28.5","25","47.752","15","8.748","4","1.778","17","48.5","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-e71123533a5fd2669bb7910217933331875dec127535da210419572f18c507aa","0-b50768f00993fb37d1085a7ffc4ef9e1eb0b6740e19bfbd09407124092ca2f1b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","10","1.114","10","1.114","45","4.264","14","3.224","","","14","1.803","14","2.15","14","1.55","18","3.329","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f02bdd307b114cdc02da1348e494f5a3f116e4b5a1696f4a09ee391da3a8210e","0-3225915f9b630cbe8bd29e230638e6d3916956079b21b36c19d4e925f2dbcf7e","0-1e87e4cc9aa148ecea7972ce441aae44e9d2554162c906a01eeec53f238f97a3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","1.786","2","1.786","6","5.299","9","7.462","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","ddca966e398c95f61bb89211d152a508878bbded413779e2eb949b2c836f53d3","0-1f3afad756934176d52a0ad0de4f882ef705e9914488b03ce3a5331132c44f90","0-e237984fd28d8048380b4d75462bf7f45987d69d76fb91cc7c6c5ad6c0213296","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","4","7.41","4","7.41","8","14.995","6","10.361","1","2.709","7","12.515","7","13.044","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","ae354f6df61d46693f389583a11f4e6bbea3a3ef46e662da8c24c59b78e7a956","0-689648040bb6e9ac343fde9fdb149083d08ca803f8356803edca160d30fdf17b","0-7d3431b2b1d4369b5ce2e51ee201402b3e586a589dc45e49506563132e54840e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","4","3.999","4","3.999","8","8.022","6","5.604","1","1.384","7","6.77","7","7.06","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","ae354f6df61d46693f389583a11f4e6bbea3a3ef46e662da8c24c59b78e7a956","0-504c2a74686a6bad4ca1c21b99525d35c88d14bded0d6db6a1f80b2cb3cb0c88","0-2c90e3520455eefd2ec3eea86b2de90c01bcf3c0814a0453c39664875173a83f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","16","8.485","16","8.485","36","13.842","4","1.772","1","2.539","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","ae354f6df61d46693f389583a11f4e6bbea3a3ef46e662da8c24c59b78e7a956","0-d24ad29b7a5db10589bf2c262d8983e18e711a31e75cf0defe3ec7a0a9b05f32","0-185c219e8ac1ac7647cfe59e984b8a56701ec98ff4c7b6d167af09b776ba019b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","4","10.353","4","10.353","8","20.675","6","14.876","1","3.214","7","17.985","7","18.742","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","ae354f6df61d46693f389583a11f4e6bbea3a3ef46e662da8c24c59b78e7a956","0-903b82fd892810123624c13b95e7d3ac5c8bc0460b13c9f5c8048ce9b2256343","0-7bb31593749300b2c2267d6c20a1922acfcb08628995eb3cfc0e4f344201732a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","11","212.996","11","212.996","6","154.352","","","7","137.523","","","","","5","118.144","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","ea0bdb9c81493a24b83eefb78482a51a5ad8c3c11700c57b7d33f95d8eca6bd0","0-fb3900a74782459b5d52352d1629fdbdddd053b532ea023b9fa46169aac02c31","0-14b16c4e9f044901f9cfc6564a2beefa259511560bd44851bc839c5fd60c38ae","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","5","129.163","11","232.737","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","ea0bdb9c81493a24b83eefb78482a51a5ad8c3c11700c57b7d33f95d8eca6bd0","1-9f31b021bb19166e60487d63c9b9358365cb913d0d3b24516b40fda695757059","0-14b16c4e9f044901f9cfc6564a2beefa259511560bd44851bc839c5fd60c38ae","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","15","1.158","15","1.158","15","1.314","29","2.606","14","1.057","29","2.907","6","0.631","1","0.199","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","0-4cb19143c31aee5a5f6402804fb6b5d68b6418d1cfbedffa0e67e191928d2d44","0-b87cefbce577b20d5d2d7959f9396dbca4747ece2ea65571b810ae6efe9f476d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","","","","","","","13","1.367","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","1-19694c1fc7d484251c31d495307f879a977d404a1f60fd4c707e4e47ae225d7c","0-b87cefbce577b20d5d2d7959f9396dbca4747ece2ea65571b810ae6efe9f476d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","","","","","","","","","8","0.842","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","2-111435a9919aa6716926a1dd3b6afbbc12d51bcb72c6f38a287b66b1f437c34c","0-b87cefbce577b20d5d2d7959f9396dbca4747ece2ea65571b810ae6efe9f476d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","180","95.94","180","95.94","92","45.448","42","28.35","16","6.288","","","","","112","47.246","444","166.815","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","0-77db860ad29d06db378a0911d3990914abb7474f17ccb32ef425713742cda676","0-7d1d7d7ba6e7a09f5f9612bad975e94a9170c8d2175b16274c176c454f7a8199","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","8","4.264","8","4.264","56","27.664","","","16","6.288","","","","","","","16","6.917","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","1-bb4ee5e8706a73cf385bc43fe3c6465f2aac9bcb96648980f48f8de334e737dd","0-7d1d7d7ba6e7a09f5f9612bad975e94a9170c8d2175b16274c176c454f7a8199","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","21","10.374","24","16.2","8","3.144","","","","","","","35","8.581","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","2-39005b9dafca7133e4007c4fdfb0f312f971b54751ae33ae6561834a463708fd","0-7d1d7d7ba6e7a09f5f9612bad975e94a9170c8d2175b16274c176c454f7a8199","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","0.292","2","0.292","38","2.962","33","3.238","","","33","3.27","33","4","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","0-96660a2a20f9fb12695f87942991d8a7e4ab2440d20cce3effc80df5cffee656","0-80611b4981082542e6fef92a421aadcc52b2665ae4ed939394bf0ec3be7c97b0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","2","5.6","2","5.211","2","4.656","2","5.298","4","10.712","2","5.134","6","16.071","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","0-8b9c36abf510e1b8c5a858293d70e11a855b8d2f9e2d4bad331aae0b2025f1c2","0-f3022a53d908913bf83ef3ef48488f7d017a28213017ea61b96e1a930576e096","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","2","13.345","2","14.877","2","11.941","2","15.099","4","30.471","2","14.533","4","30.39","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a6adc06083128a68743f6fa93f5f39d91b0b25d0574c49068ce49ce9d3d39fcf","0-bea04d88f58108549b44d1ea630452768ba21126d816b0fd0801415ac4aa2c49","0-727905e21149fa478183e642fc6f82be188db2b38ffeb1f0398b799079000109","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","14","0.513","24","0.632","","","20","0.56","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7ecaeb17ddaab09331abe3717f89ef8764389cbf73845cd7681c627bfe6c835a","0-5753bd924c77f1b3ddec003ea95d82fc9ba01c1bf5456bf64054e543f227ad73","0-1720110f36da0e62e8cb51a41ce554e4da0c80eb8aad79b402bd26292773607e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","6","0.22","6","0.158","","","6","0.168","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7ecaeb17ddaab09331abe3717f89ef8764389cbf73845cd7681c627bfe6c835a","1-3b08094c78e032f108690a8a72d7cc170d77f9a24ca43caaae91212df7864c91","0-1720110f36da0e62e8cb51a41ce554e4da0c80eb8aad79b402bd26292773607e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","12","0.000","12","0.000","8","0.000","6","0.000","13","0.000","","","","","12","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","848a6cb91bb8004d07d75a22530879118fdf056b6f741833c68e47851fad84ca","0-3a47bb0ebadc3d8a70ca65e3516f4163b6cfe74dda11fa5f4cd094eb47eb5dcc","0-3dc6a0193fe1923f91e718b58a0c21035d840d91c302fea18164b6ae752dad82","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","5.063","2","5.063","22","23.998","22","23.418","","","22","19.572","22","19.129","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","26a9fb1bbc70d0fd44b3a4eb37eae6fcd9b459c96b30a7e154a02ac63bfec5a1","0-99c1799455624f58a15660442f37686d21adc387ba8464a46cbc7c2659760b9c","0-49b7593cf6d5d44339f80def34fe7fee6a8c76814acbef30fcf4781b53ca7109","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","22.238","2","45.638","1","29.337","1","32.541","","","1","12.74","1","26.404","","","","","1","23.4","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8ecd181f0be17491705fbab80b4dd0105939c12cd6f64d3cc41b3cbd45586462","0-3c618179348d7e72f99bc2d7fa06ac014e46d93af42568c4c64764cf2163c0d9","0-feed0ea3d17d467333061285b823f3f7ba39a9f3576f86ede8c65597e55f9fec","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","3","1.545","3","1.545","32","16.48","22","11.33","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8bd247fdaa512cd4312cf6eb74e684dde2e0f7dcf1aaeaa6193e2cfb77e2f683","0-a413ddfbef2a6b44a69759c4e2375b16ffe57b82b062279782fd6dbd651f0364","0-8e892f533a3ad80ca97d24cccdcde16fc2d816ae657b9609aee79a1ed980814f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","14","3.784","29","6.858","","","15","3.1","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","8bd247fdaa512cd4312cf6eb74e684dde2e0f7dcf1aaeaa6193e2cfb77e2f683","0-87a7d323a781b09e06034632da66e56cc1e1f974b44aec61dac7a7a301d4ec10","0-62e38e6a8b3c729896781576b5e1e539ed908568cce4cebf20054cd13f58f4fe","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","1","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","5901a4c8b0d4adfbe277a0b6d649d7a40850cdab63961f7b77d26372c000f59f","0-9610996c2b291899b86a1b9b0ae3869d37262dd89c10b5a97b63f49126d78bf5","0-e6b000126bccf5df2bf25dc7f715565f23ce0a194e07122fe8730630625f8bdf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","1","5.35","","","","","","","1","4.35","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","72f7ee3fbe324742a8370367066f3388b3fa967ee0a9227ff54200d9ec07e503","0-73731c9cee1145bdaff85bfaf8766dd236266cbb94e3e81d0404e12300ddf9ba","0-ab0bc0ae30261f755af66ba90c6168502d55a245831e7dc96e168291faeed79c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","0","2.875","","","","","","","","","","","","","","","0","2.875","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","962d4978fc38de3ceec0b361291851cd9f0dc9ee6550978e513db4bc0cac01a5","0-068ffff4c552290f69fd67bbf3f4cad940cce7d754be6956ea2993d83a59eb00","0-5d2df8cf2ea636c656d421475fe4afaef97bb98bf8faf143a2278a9f287dd165","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","8","4","8","8","1","0.509","2","1.03","","","2","1.05","2","1.07","","","","","0","4","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","962d4978fc38de3ceec0b361291851cd9f0dc9ee6550978e513db4bc0cac01a5","0-679c228f292154a76793783f633002435aa05b6fdeef73cab0a311526bb29f5a","0-e4c7b9a4855c6594d810fadcb88bdddf161ea6e58716c6fb5c5e83fe7f12ad50","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","1","0.913","1","0.913","","","1","0.913","1","0.913","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","962d4978fc38de3ceec0b361291851cd9f0dc9ee6550978e513db4bc0cac01a5","0-29ffb4f9cda871d61c921a415fec63675ba7f643ffb5ea4d2280cc7d7571290c","0-d70841316e75e7592dc7dde8a651b8eb58f063d4d769c1086c8590256048c0cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","","","0","0.913","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","962d4978fc38de3ceec0b361291851cd9f0dc9ee6550978e513db4bc0cac01a5","1-b4199d5566876ef10ce664cba1ed268140ded45766bd60d6237c06d4ba8358bd","0-d70841316e75e7592dc7dde8a651b8eb58f063d4d769c1086c8590256048c0cc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
