Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Engineering Change Orders - Block II","","0.000","","","","","2.039","","","0.000","","","1.63","","","0.000","","","1.63","1.639","","","1.645","","","1.658","","","1.674","","","","","30.27","","","40.555","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","7-4558ff9813c952aa72937206e135b211374548ac7ee27c237fe5f2a9d5bf575d","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Government Cost (GFE & Testing) - Block II","","2.443","","","","","0.000","","","0.000","","","0.011","","","0.000","","","0.011","0.012","","","0.012","","","0.012","","","0.012","","","","","0.253","","","2.755","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b59085466dd5e913b48412ac5b92463d4bc7563b8d00212750b70963a637457a","8-3701d9807047b507ba6893101898d0e579d9c606b46bf4a6cef62afd0005bb91","0-803a69bca38c36d28c741a11362c96af31cf4c42a234cbab26c604bcf66491a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(1) ACC PC SYSTEMS - LEGACY","","1.81","0.006","318","0.006","620","3.418","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","0-5493f02dea1fe444950fa6511b5d419ebec7870916a2796228ad9c970abfb215","54-cf6fb461ad6e9877a72a5172103d0bc87c4736d3cde0ab27478078996182f478","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(2) AMC PC SYSTEMS - LEGACY","","0.000","","","0.006","385","2.123","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","1-8dbdfe887f85a6104303840c5baa023297f23181db50191de7a38543c475d0d9","54-cf6fb461ad6e9877a72a5172103d0bc87c4736d3cde0ab27478078996182f478","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(1) ACC PC SYSTEMS - INCREMENT III","","1.324","0.006","232","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","0-5313de7f90dcd70d27a4f7fe47aa2fda8c5b3290e2da1dfabf2d2dad30cbb3bd","55-df7f709745dade5f3c051e834d16c8db9259d51ff0c546e872d32d242fe3bd66","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(1) ACC PC SYSTEMS - INCREMENT IV","","3.496","0.006","613","0.005","651","3.447","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","0-a233f13d0d60a511f0509894d9246f8b93c6161bb787f421be9ee6a570a8addf","56-02474eb3911e7c772471e433e1000151ebb473e1c5823afbc41cc3deee41d7de","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"(2) AMC PC SYSTEMS - INCREMENT IV","","4.206","0.005","791","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","1-6b8337da492d8c5c3f9dbbb73dc6af39b42eaa1c4c312c07d61fee642815ab1f","56-02474eb3911e7c772471e433e1000151ebb473e1c5823afbc41cc3deee41d7de","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"GPS RETRANSMISSION SUBSYSTEM","","0.586","0.011","52","0.011","35","0.395","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","0-855af1e65af1b29af4998cf0487ebc111d50f75ffc7397aff352bee835572221","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"UHF RECEIVE SUBSYSTEM","","0.000","","","0.035","35","1.229","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","1-b2a2866a347643ccfb18b94b3a65456b745fb756cd1aabad05b11ff08565ad28","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"DROPSONDES","","0.000","","","0.001","2175","1.566","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","2-fe8da5e5af21693ed0404b1953c99a1bc88e4e97d5faedf6bee655d5beabd6d0","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"SUBSYSTEM & DROPSONDE SHIPPING","","0.000","","","0.016","1","0.016","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","3-186c6a339eeef16950e92e15378006ec539bc55b17197acfc441c2b744bfbc58","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"SUPPORT SERVICES & SPARES","","2.173","2.173","1","2.402","1","2.402","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","4-8276f65903f84db16617bfdd19cb8272c9e9dd7fc8f1a2f35e1953e8b5620ee4","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (PMA)","","2.42","2.42","1","2.287","1","2.287","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","5-0daa1fc4a9cfadcf04a914d3229af53033bbfd3ce0c5aa81b4b664f81cc9d6cb","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"SYSTEM ENGINEERING & LOGISTICAL SUPPORT","","0.000","","","1.304","1","1.304","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","6-9305efcfb189b1769ab01291203c126bcc64eb1c7c5e51aaae9232c8c7301bae","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TESTING","","0.000","","","0.775","1","0.775","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","7-ccc4aabd2a214cab524b162a9b285522c2c7bab2e54fae24c29b32d9e4b1ce0f","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ULTRALIGHT DELIVERY SYSTEM","","0.137","0.034","4","0.035","2","0.069","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","8-dcf0c4ae78792547949a51c30ec8e134c5641f6917f55fab328703a837c94915","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"2K DELIVERY SYSTEM","","1.822","0.059","31","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","9-e8852db6fef246e3e66108a2a00a5a401b2c921eb049276e13ad1dfb91a4b0be","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"10K DELIVERY SYSTEM","","0.000","","","0.132","5","0.66","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","10-2c959940c62ab04613801089044686818efba854fa2846c550d5752f667c244d","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"NAVAID DELIVERY SYSTEM","","0.000","","","0.01","80","0.836","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","11-89330b16f3b2ff3ef2c756a5b82b1d1462a7fa0a390f0cf09ccadbb0eb5d1a66","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"DELIVERY SYSTEM RIGGING & SERVICES","","0.000","","","0.024","1","0.024","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ff893a054cd3255c2da1eaff4eb5963a04a19172d96f7bfb800b2154a77c70bb","12-edcdbb16a90f1401fc13e15dc2c7f95a9f97a89237f65b223e045522914cfa9a","57-971b5bb53e0f3bd77b80451d2b3923fa181da78f4f632c9ec14514938ffd6080","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (DEPLOYABLE) -- HILL AFB, UT","","1.434","0.143","10","0.143","10","1.434","","","0.000","0.162","6","0.972","0.162","34","5.508","0.162","40","6.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","0-b67b49c156ca685d1e9b5a7475a0411ef6e9309a7a41a62c7bb01eaedb5042e0","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (FIXED) -- HANSCOM AFB, MA","","0.000","","","0.3","2","0.6","","","0.000","0.386","5","1.93","","","0.000","0.386","5","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","1-e4a276cac58fa5c3a387521768414830cb264ebff7bd257b379ca6e08150d28f","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (REMOTE) -- OFFUTT AFB, NE","","0.000","","","","","0.000","","","0.000","0.006","40","0.24","","","0.000","0.006","40","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","2-72ad5abf9cb0fc25db873125e9fe4f394f7b4cc42f62a2fb6c851099f4d6276b","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTRACTOR SERVICES - STORAGE AND INSTALLATION (OS-21)","","0.000","","","","","0.315","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","3-64c13071007f6765e3a9f4b2659b1e589509d62dd1ee50ba0afb19baa5c80a65","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INTERIM CONTRACTOR SUPPORT (OS-21)","","0.000","","","","","0.385","","","0.347","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","4-9a585cfc2d46efa865f24cfaa9244dc8aeaf35cc0834f5bcce840195d025fb42","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (OS-21)","","1.419","","","","","1.344","","","0.976","","","0.622","","","0.092","","","0.714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","5-84b86ca3839a61a388e611a4d4f79586881c4ceb90753f5fa8369fff080a76b3","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"a. OS-21","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","6-84cff11a8d581a1c0bc8ef43a6e55d9bd668d1927c83e1f0394ccc835e52a134","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (NEXION) -- PETERSON AFB, CO","","1.08","0.27","4","0.274","2","0.548","0.274","3","0.822","0.274","2","0.548","","","0.000","0.274","2","0.548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","7-b0ca9fd392fb32c97b4bf1ca1e6571cbbfac679487d1ebd39ac68c55c3a85179","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INSTALLATION (NEXION)","","1.068","","","","","0.127","","","0.427","","","0.961","","","0.000","","","0.961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","8-d5109715b2345ff1310f33be04e741ba337ed281e389b57e6cd20781d0947f9b","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INTERIM CONTRACTOR SUPPORT (NEXION)","","0.068","","","","","0.1","","","0.266","","","0.393","","","0.000","","","0.393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","9-eeac9eeebbacdc8bd73739ac03a6f15f655b1a78901d740aeac2fae6687342d5","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (NEXION)","","0.384","","","","","0.325","","","0.33","","","0.098","","","0.000","","","0.098","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","10-e5aa4666440a7f102b46662cb41480fc74f0764d7be06275449ea725d977d9cd","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"b. NEXT GENERATION IONOSONDE (NEXION) REPLACEMENT","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","11-502444775c863738bc837e0eb85f1adaca680e5185459c284aaa67d4377fd20f","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (RADAR) -- HANSCOM AFB, MA","","3.516","0.586","6","","","0.000","0.6","3","1.8","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","12-723357487cb3318eb9ed833b4386c88b8b0d14bb26623a0bf5100b564a18e5e1","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INTERIM CONTRACTOR SUPPORT (RADAR)","","0.4","","","","","0.000","","","0.8","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","13-48cbaf1af30d906ef82dea533c7007fd31bc293beca4b925a39a3b30a0a0851c","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (RADAR)","","1.723","","","","","0.349","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","28174f227f1fc7128370fa706b6a8ee6c44c49cd031622ec49e2ec95da6a889d","14-455c1e736e2677bcce08568bae0a38bab211d381f8504710e97e16cb832d0c9e","6-e854245b16c51ccee1e5d5b2363ca7b7ca39251c6817beeba00400e80360fec5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
